metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
absolute;yes;Cap|Electricity|Hydro;GW;;;JPN;2030;;13.44;80.682;;;;;
absolute;yes;Cap|Electricity|Hydro;GW;;;USA;2030;;48.84;187.67;;;;;
;;;;;;;;;;;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;World;2020;337.1886;355.9213;393.3867;412.1194;;;;IEA PRIS
absolute;yes;Cap|Electricity|Nuclear;GW;;;LAM;2020;3.042;4.056;6.084;7.098;;;;https://github.com/pik-piam/mrremind/discussions/540
absolute;yes;Cap|Electricity|Nuclear;GW;;;OAS;2020;17.448;23.264;34.896;40.712;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;SSA;2020;1.11;1.48;2.22;2.59;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;EUR;2020;61.35;81.8;122.7;143.15;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;NEU;2020;1.782;2.376;3.564;4.158;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;MEA;2020;3.744;4.992;7.488;8.736;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;REF;2020;25.53;34.04;51.06;59.57;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CAZ;2020;8.22;10.96;16.44;19.18;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CHA;2020;33.6144;44.8192;67.2288;78.4336;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;IND;2020;4.152;5.536;8.304;9.688;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;JPN;2020;6.63;8.84;13.26;15.47;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;USA;2020;58.17;77.56;116.34;135.73;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;World;2030;269.7507;320.32955;441.924;479.9179;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;LAM;2030;;2.4336;9.009;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;OAS;2030;;13.9584;47.488;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;SSA;2030;;0.888;2.59;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;EUR;2030;;49.08;150.612;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;NEU;2030;;1.4256;10.402;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;MEA;2030;;2.9952;16.254;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;REF;2030;;20.424;67.858;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CAZ;2030;;6.576;19.18;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CHA;2030;;26.8914;115.2536;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;IND;2030;;3.3216;17.248;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;JPN;2030;;5.304;19.18;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;USA;2030;;46.536;135.73;;;;;
